Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
125,Isaiah Hartenstein,C,23,LAC,68,1216,22,0.664,0.082,0.361,10.5,18.2,14.5,20.5,2,5.4,16.5,18.4,,3.3,2.2,5.5,0.215,,1.4,3.1,4.5,2
126,Dejounte Murray,PG,25,SAS,68,2366,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,,3.9,3.4,7.3,0.149,,3.7,1.7,5.4,4.4
127,Jakob Poeltl,C,26,SAS,68,1970,20.8,0.613,0.002,0.287,13.9,20,16.9,14,1.1,5,12.7,18.3,,4.4,2.5,6.9,0.168,,0.9,0.7,1.6,1.7
128,Pascal Siakam,PF,27,TOR,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23,1.6,1.6,11.6,25.8,,4.9,3.2,8.1,0.151,,2.7,0.8,3.5,3.6
129,Max Strus,SF,25,MIA,68,1587,12.7,0.614,0.784,0.094,1.7,12.5,7.2,8.8,0.9,1.1,8.8,18.1,,2,1.7,3.6,0.11,,1.4,-0.4,0.9,1.2
130,Gabe Vincent,PG,25,MIA,68,1589,10.6,0.551,0.63,0.105,1.6,7.3,4.5,19.4,2,0.8,15.4,17.8,,0.7,1.9,2.5,0.076,,-1.9,0.5,-1.4,0.2
131,Christian Wood,C,26,HOU,68,2094,19.1,0.595,0.383,0.378,5.7,30.4,18,12.2,1.2,2.8,11,23.3,,2.9,2,4.9,0.112,,2.1,-0.4,1.6,1.9
132,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4
133,Oshae Brissett,SF,23,IND,67,1564,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,0.069,,-0.5,-1.7,-2.2,-0.1
134,Jae Crowder,PF,31,PHO,67,1886,11.3,0.541,0.671,0.165,1.8,18,10.1,8.3,2.4,1.4,8.6,14.6,,0.9,3.4,4.3,0.11,,-1.3,2.4,1.1,1.5
135,Dewayne Dedmon,C,32,MIA,67,1065,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,,1.5,2,3.5,0.157,,-2.2,1.1,-1,0.3
136,Spencer Dinwiddie,PG,28,TOT,67,1980,15.1,0.543,0.449,0.343,2.6,13,7.8,25.7,1.1,0.6,10.9,21.4,,2.7,1.4,4.1,0.098,,0.8,-0.4,0.3,1.1
137,Jalen Green,SG,19,HOU,67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,,0.5,0.2,0.7,0.015,,-0.5,-2.4,-2.9,-0.5
138,JaMychal Green,PF,31,DEN,67,1085,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,,1.2,1.4,2.7,0.118,,-2,0.1,-1.8,0
139,Josh Green,SG,21,DAL,67,1039,11.9,0.578,0.305,0.176,5.6,11.7,8.6,11,2.2,1.2,13.8,13.9,,1,1.4,2.4,0.111,,-2.4,1.4,-1,0.3
140,Jrue Holiday,PG,31,MIL,67,2207,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,,4.5,2.4,6.9,0.15,,2.9,0.3,3.2,2.9
141,Furkan Korkmaz,SG,24,PHI,67,1414,10.2,0.502,0.566,0.179,1.8,11.9,6.9,13.1,1.2,0.6,8.6,17.6,,0.1,1.1,1.2,0.041,,-2,-1.1,-3.1,-0.4
142,Zach LaVine,SF,26,CHI,67,2328,20,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,,4.5,1.3,5.8,0.12,,3.9,-1.5,2.4,2.6
143,Donovan Mitchell,SG,25,UTA,67,2266,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,,4.7,2.5,7.2,0.152,,4.6,-0.3,4.3,3.6
144,Isaac Okoro,SF,21,CLE,67,1981,10.4,0.589,0.364,0.36,4.1,7.1,5.6,8.5,1.4,1,10.4,12.4,,2.4,1.9,4.2,0.103,,-2.4,0.7,-1.7,0.1
145,Austin Rivers,SG,29,DEN,67,1480,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,,0.1,1.1,1.2,0.037,,-3.5,-0.3,-3.8,-0.7
146,Cam Thomas,SG,20,BRK,67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,,0,0.8,0.8,0.033,,-1.9,-1.4,-3.4,-0.4
147,Grayson Allen,SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.5,1.1
148,Jaylen Brown,SF,25,BOS,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,0.124,,1.9,0.1,2.1,2.2
149,Troy Brown Jr.,SF,22,CHI,66,1055,10.1,0.525,0.516,0.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,,0.5,0.9,1.4,0.065,,-1.7,-0.2,-1.8,0.1
150,Jevon Carter,PG,26,TOT,66,905,9.6,0.531,0.672,0.071,1.7,11.2,6.6,14,1.3,1.4,11.5,14,,0.5,0.7,1.2,0.062,,-1.8,-0.4,-2.2,-0.1
151,Danilo Gallinari,PF,33,ATL,66,1672,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,,2.8,0.8,3.6,0.105,,1,-1.2,-0.2,0.8
152,Rudy Gobert,C,29,UTA,66,2120,24.7,0.732,0.008,0.864,12.9,36.3,25,5.1,1,5.7,14.5,16.9,,7.3,4.3,11.7,0.264,,2.9,1.7,4.6,3.6
153,Killian Hayes,PG,20,DET,66,1647,9.3,0.461,0.364,0.161,2.2,12,6.9,24.6,2.3,1.9,18.4,15.7,,-1,1.5,0.5,0.014,,-4.3,0.8,-3.5,-0.6
154,Tyler Herro,SG,22,MIA,66,2151,16.2,0.561,0.391,0.195,1.7,15.4,8.7,20.9,1,0.4,12.5,28.8,,1.3,2.4,3.8,0.084,,1.6,-0.9,0.7,1.5
155,Cameron Johnson,PF,25,PHO,66,1730,15.2,0.625,0.644,0.188,2.7,14,8.5,7.7,1.6,0.8,6.7,17.5,,3.2,2.4,5.6,0.156,,2,0.7,2.7,2.1
156,Kyle Kuzma,PF,26,WAS,66,2204,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,,0,2,2,0.044,,0.2,-0.4,-0.2,1
157,Khris Middleton,SF,30,MIL,66,2141,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,,3.2,2.2,5.3,0.119,,1.9,-0.3,1.6,1.9
158,Cedi Osman,SF,26,CLE,66,1462,13.3,0.563,0.628,0.229,1.9,9,5.5,14.1,1.8,0.6,9.6,21.1,,1.3,1.6,2.9,0.094,,-0.3,0.5,0.2,0.8
159,Matisse Thybulle,SG,24,PHI,66,1685,11.2,0.594,0.48,0.143,2.8,7.1,5,6.1,3.4,3.8,10.9,9.5,,1.2,2.5,3.7,0.107,,-2.2,3.3,1.1,1.3
160,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3
161,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4
162,Facundo Campazzo,PG,30,DEN,65,1184,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2,0.081,,-2.1,1.3,-0.8,0.4
163,Pat Connaughton,SG,29,MIL,65,1691,13.4,0.62,0.746,0.109,2.9,14,8.6,6.6,1.7,0.9,6.3,14,,2.8,1.6,4.4,0.125,,0.8,0.4,1.2,1.4
164,Luka Dončić,PG,22,DAL,65,2301,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,,3.8,3.8,7.6,0.159,,6.4,1.8,8.2,5.9
165,Javonte Green,SF,28,CHI,65,1519,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,,2.9,1.5,4.4,0.139,,-0.6,0.7,0.1,0.8
166,James Harden,PG-SG,32,TOT,65,2419,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,,4.9,2.7,7.6,0.152,,3.7,0.3,4.1,3.7
167,Cory Joseph,PG,30,DET,65,1600,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1,15.9,14.3,,1.7,0.8,2.5,0.075,,-2,-0.1,-2.1,0
168,Garrison Mathews,SG,25,HOU,65,1712,11,0.602,0.837,0.39,2,10.2,6.1,5.3,1.6,1.3,7.1,14.4,,2.2,0.5,2.8,0.078,,-1.3,-1,-2.3,-0.1
169,Chris Paul,PG,36,PHO,65,2139,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,,5.8,3.6,9.4,0.21,,3.1,2.3,5.4,4
170,Josh Richardson,SG,28,TOT,65,1600,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,,1.6,2,3.5,0.106,,-0.6,0.7,0.1,0.9
171,D'Angelo Russell,PG,25,MIN,65,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1,13.2,25.1,,2.9,1.5,4.4,0.101,,2.2,-1.5,0.8,1.4
172,Ish Smith,PG,33,TOT,65,1126,12.5,0.465,0.156,0.056,2.4,11.1,6.8,31.5,2,1.8,15,20.1,,-0.3,0.9,0.5,0.023,,-2.2,-0.6,-2.9,-0.2
173,Fred VanVleet,PG,27,TOR,65,2462,17.3,0.552,0.585,0.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,,3.9,2.8,6.7,0.131,,3.1,0.5,3.6,3.5
174,P.J. Washington,PF,23,CHO,65,1768,13.6,0.588,0.566,0.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,,1.8,1.6,3.4,0.091,,-0.2,0.2,-0.1,0.9
175,Hassan Whiteside,C,32,UTA,65,1162,22.9,0.662,0,0.506,16.2,29.9,23.3,3.4,0.9,7.8,11.6,17.1,,3.4,2.3,5.8,0.238,,0.6,1.4,2.1,1.2
176,Dalano Banton,SF,22,TOR,64,696,10,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2,1.4,19.3,16.9,,-0.4,0.8,0.4,0.03,,-3.4,0.4,-3,-0.2
177,Brandon Clarke,PF,25,MEM,64,1246,23.7,0.66,0.049,0.291,11.1,17.8,14.4,10.3,1.5,4.9,6.3,17.7,,4.4,1.9,6.3,0.241,,3.1,1.1,4.2,2
178,Cade Cunningham,PG,20,DET,64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,,-2.4,1.9,-0.5,-0.011,,-1.1,-0.5,-1.6,0.2
179,Seth Curry,SG,31,TOT,64,2135,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,,2.7,1.5,4.2,0.095,,0.3,-0.9,-0.6,0.8
180,Stephen Curry,PG,33,GSW,64,2211,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1,13.2,30.8,,4.6,3.4,8,0.173,,5.4,0.4,5.8,4.4
181,R.J. Hampton,SG,20,ORL,64,1402,8.5,0.481,0.4,0.256,1.7,12.9,7.3,16.9,1.4,0.8,14.6,18.4,,-1.3,1.1,-0.2,-0.005,,-4,-0.1,-4.1,-0.7
182,Ben McLemore,SG,28,POR,64,1285,11.7,0.567,0.774,0.163,1,8.1,4.4,7.3,1.4,0.8,8.7,21.3,,0.7,0.2,0.8,0.031,,-0.7,-2.5,-3.2,-0.4
183,Dennis Schröder,SG-PG,28,TOT,64,1837,13,0.539,0.345,0.254,2,10.5,6.3,24.2,1.4,0.4,15.1,22.6,,1,1.9,2.9,0.076,,-1.5,-0.4,-1.9,0
184,Bogdan Bogdanović,SG,29,ATL,63,1848,15.4,0.562,0.578,0.145,1.7,13,7.4,15.5,1.8,0.7,7.7,21.6,,2.5,1.2,3.7,0.095,,1.5,-0.2,1.3,1.5
185,Aaron Holiday,PG,25,TOT,63,1021,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,,0.5,0.9,1.5,0.068,,-1.9,0.3,-1.7,0.1
186,Damion Lee,SG,29,GSW,63,1256,10.9,0.561,0.488,0.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,,0.9,1.8,2.7,0.102,,-2.4,0.4,-2,0
187,Kyle Lowry,PG,35,MIA,63,2133,15,0.6,0.609,0.278,1.8,13,7.5,32.3,1.6,0.8,19.3,18.2,,3.7,2.7,6.4,0.143,,1.1,0.8,1.9,2.1
188,Otto Porter Jr.,PF,28,GSW,63,1396,15.9,0.581,0.519,0.147,6.9,21,14.2,9.6,2.4,2,7.7,15,,2.2,2.7,4.9,0.168,,1,2.1,3.1,1.8
189,Terrence Ross,SG,30,ORL,63,1448,10,0.515,0.477,0.235,1.5,10.3,5.9,12.5,0.9,0.8,10.9,20.5,,-0.5,0.9,0.3,0.011,,-2.5,-1.1,-3.7,-0.6
190,Lamar Stevens,PF,24,CLE,63,1015,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,,0.4,1.2,1.6,0.078,,-3.2,0.3,-2.9,-0.2
191,Moritz Wagner,C,24,ORL,63,960,18.1,0.623,0.508,0.326,4.6,21,12.8,15.4,1,1.2,11,22.9,,1.8,1,2.8,0.138,,1.5,0.1,1.6,0.9
192,Avery Bradley,SG,31,LAL,62,1406,7.8,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.5,-0.1,-3.6,-0.6
193,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,,2.6,2.4,5,0.129,,1,0.6,1.6,1.7
194,Danny Green,SF,34,PHI,62,1353,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,,0.3,1.6,1.9,0.067,,-1.4,0.8,-0.5,0.5
195,James Johnson,PF,34,BRK,62,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,,0.6,1.1,1.7,0.068,,-2.7,0.6,-2.2,-0.1
196,CJ McCollum,SG,30,TOT,62,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1,9.3,27.5,,2.6,1,3.6,0.081,,3.2,-1.3,1.9,2.1
197,Jordan McLaughlin,PG,25,MIN,62,902,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3,1.1,14.9,11.8,,1.3,1,2.3,0.123,,-1.2,1.6,0.4,0.6
198,Trey Murphy III,SF,21,NOP,62,864,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,,1.3,0.6,1.9,0.104,,0.2,-1.4,-1.2,0.2
199,Jaylen Nowell,SG,22,MIN,62,975,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1,7.4,21,,2.1,0.7,2.8,0.138,,1.5,-0.7,0.8,0.7
200,Jordan Nwora,SF,23,MIL,62,1185,9.9,0.506,0.491,0.093,3.4,16.1,9.9,7,1,1.4,10.6,19.4,,-0.4,1.1,0.6,0.025,,-2.7,-1.5,-4.1,-0.6
201,Domantas Sabonis,C-PF,25,TOT,62,2136,21.9,0.637,0.162,0.429,10.3,29,19.5,23.6,1.3,1.1,17.5,22.3,,5.3,1.8,7.1,0.159,,3.2,0.9,4.1,3.2
202,Ziaire Williams,SF,20,MEM,62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,,1.1,1.1,2.2,0.08,,-2.4,-0.6,-3,-0.3
203,Gary Harris,SG,27,ORL,61,1730,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,,1.1,1,2.2,0.06,,-2,-0.4,-2.4,-0.2
204,Lauri Markkanen,PF,24,CLE,61,1878,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,,2.7,2.3,5,0.127,,0.4,-0.1,0.4,1.1
205,Aleksej Pokusevski,PF,20,OKC,61,1233,12,0.485,0.432,0.11,6,20.8,13.3,16.5,1.5,2.9,16.4,20,,-1.1,1.5,0.4,0.014,,-2.7,0.1,-2.6,-0.2
206,Kevin Porter Jr.,PG,21,HOU,61,1907,13.5,0.531,0.511,0.239,2.5,13,7.7,30.7,1.7,1,17.7,24.1,,0,0.8,0.8,0.021,,-0.1,-1.6,-1.6,0.2
207,Austin Reaves,SG,23,LAL,61,1418,11.5,0.6,0.525,0.371,3.4,11.2,7.3,10.3,1,1.3,9.8,12.4,,2.1,0.8,2.9,0.097,,-1.3,-0.6,-1.9,0
208,Coby White,PG,21,CHI,61,1675,12.6,0.564,0.548,0.141,1.1,11,6.1,15,0.8,0.6,9.3,19.8,,1.6,0.8,2.4,0.067,,-0.4,-1.7,-2.1,0
209,Robert Williams,C,24,BOS,61,1804,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,,6,3.9,9.9,0.262,,2.4,3.1,5.5,3.4
210,Trent Forrest,PG,23,UTA,60,765,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,,0.5,0.8,1.3,0.084,,-2.3,1.2,-1,0.2
211,Talen Horton-Tucker,SG,21,LAL,60,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,,-0.2,1.2,1.1,0.033,,-3.2,-0.2,-3.3,-0.5
212,Dwight Howard,C,36,LAL,60,971,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5,1.7,3.3,14.2,14.6,,2.2,1.3,3.5,0.174,,-0.2,0,-0.2,0.4
213,Tre Mann,PG,20,OKC,60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,,-1,1,0.1,0.002,,-3.3,-1.1,-4.3,-0.8
214,Caleb Martin,SF,26,MIA,60,1372,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,,1.9,2.1,4,0.139,,0.1,0.9,1.1,1.1
215,Chimezie Metu,C,24,SAC,60,1279,13.4,0.546,0.414,0.203,2.9,25.9,14.3,6.9,1.9,2.2,11.1,18.5,,0.1,1.4,1.5,0.056,,-1.6,0.1,-1.5,0.2
216,Keita Bates-Diop,SF,26,SAS,59,956,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,,0.6,1,1.6,0.08,,-2.1,-0.5,-2.6,-0.1
217,Nicolas Batum,PF,33,LAC,59,1462,13.5,0.608,0.698,0.098,2.2,15.8,9.2,9.7,1.9,2.4,9,13.3,,1.6,2.1,3.7,0.123,,0.5,1.8,2.3,1.6
218,De'Aaron Fox,PG,24,SAC,59,2083,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,,1.5,1,2.5,0.058,,0.6,-1.2,-0.6,0.7
219,Maxi Kleber,PF,30,DAL,59,1450,11,0.537,0.72,0.184,5.4,21.5,13.4,6.5,1,3.6,10.9,13.3,,0.7,2.3,3,0.098,,-1.6,1.2,-0.4,0.6
220,Garrett Temple,SG,35,NOP,59,1098,8.6,0.494,0.627,0.139,2.9,11.8,7.2,9.2,1.9,2,11.8,13.9,,-0.1,1,0.8,0.037,,-2.8,0.3,-2.5,-0.1
221,Deandre Ayton,C,23,PHO,58,1713,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,,4.1,3.1,7.3,0.203,,2.2,0.6,2.8,2.1
222,Patrick Beverley,PG,33,MIN,58,1476,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,,2.3,1.7,4.1,0.132,,0.6,2.1,2.7,1.7
223,Hamidou Diallo,SG,23,DET,58,1269,15.7,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9,21.8,,0.6,1.5,2.1,0.079,,-1.2,0.7,-0.5,0.5
224,CJ Elleby,SF,21,POR,58,1174,9.2,0.491,0.409,0.273,6,15.6,10.6,10.6,1.5,1.6,14,14.8,,-0.1,0.5,0.4,0.016,,-3.8,-1.5,-5.3,-1
225,Caris LeVert,SG,27,TOT,58,1781,15.1,0.525,0.3,0.226,2.7,10.7,6.7,22,1.4,1.1,10.3,25.4,,1.2,1,2.2,0.059,,0,-1.2,-1.2,0.4
226,Frank Ntilikina,PG,23,DAL,58,685,10.4,0.513,0.498,0.112,1.9,10.9,6.4,14.7,2,0.9,11.7,17.4,,0.1,0.9,0.9,0.065,,-2.9,0.9,-2,0
227,Eric Paschall,PF,25,UTA,58,736,13.9,0.612,0.46,0.366,4.6,10.9,7.9,7.1,0.6,0.6,9,17.7,,1.4,0.5,2,0.128,,0.5,-1,-0.5,0.3
228,Cameron Payne,PG,27,PHO,58,1278,13.8,0.5,0.359,0.152,2.1,12.3,7.3,30.7,1.5,1.2,14.1,24.6,,0.2,1.8,1.9,0.073,,-0.4,0.4,0,0.7
229,Jimmy Butler,SF,32,MIA,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,,6.2,2.9,9.2,0.228,,4.5,1.9,6.3,4
230,Eric Gordon,SG,33,HOU,57,1669,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,,1.5,-0.1,1.4,0.04,,-0.1,-2.2,-2.3,-0.1
231,Ja Morant,PG,22,MEM,57,1889,24.4,0.575,0.218,0.353,4.2,14.1,9,34.1,1.7,1,12.6,33.7,,4.6,2.1,6.7,0.171,,6.2,-0.1,6.1,3.9
232,Anfernee Simons,SG,22,POR,57,1681,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,,2,-0.1,1.9,0.055,,1.9,-2.7,-0.7,0.5
233,Tristan Thompson,PF,30,TOT,57,897,14.9,0.541,0.011,0.434,14.7,20.8,17.7,5.5,1.2,2,12.4,17.5,,0.9,0.8,1.6,0.087,,-1.6,-1.5,-3.1,-0.3
234,Bam Adebayo,C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7
235,Jarrett Allen,C,23,CLE,56,1809,23,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3,8.5,0.225,,2.7,1.2,3.9,2.7
236,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.2,1.5,-0.7,0.3
237,Dāvis Bertāns,PF,29,TOT,56,807,9.4,0.531,0.836,0.145,1.7,14.3,8,5.5,1,1.3,6.1,17.3,,0.2,0.7,0.9,0.053,,-1.7,-0.9,-2.6,-0.1
238,Shai Gilgeous-Alexander,PG,23,OKC,56,1942,20.9,0.557,0.282,0.385,1.9,13,7.4,31.1,1.8,2.2,11.1,30.8,,2.8,1.8,4.6,0.113,,2.9,0.5,3.4,2.7
239,Blake Griffin,PF,32,BRK,56,958,13.7,0.518,0.463,0.243,7,18.6,13,15,1.4,1.3,8.2,16.9,,1.2,0.9,2.1,0.106,,-0.6,0.1,-0.6,0.3
240,LeBron James,SF,37,LAL,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,,5.2,2.3,7.5,0.172,,6.9,0.8,7.7,5.1
241,Damian Jones,C,26,SAC,56,1017,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4,15.4,16.2,,2.4,0.9,3.3,0.156,,-0.2,0.5,0.3,0.6
242,Jeremy Lamb,SF-SG,29,TOT,56,935,13.3,0.521,0.49,0.305,3,15.3,9.1,12.3,1.6,2,8.6,19.7,,0.6,0.6,1.2,0.063,,-0.4,-0.5,-0.8,0.3
243,Svi Mykhailiuk,SF,24,TOR,56,716,9.6,0.509,0.573,0.158,2.9,11.5,7,8.8,1.8,0.5,11.3,16.9,,0.1,0.7,0.8,0.052,,-2.7,-0.2,-2.9,-0.2
244,Jusuf Nurkić,C,27,POR,56,1579,20,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,,2,1.7,3.6,0.11,,0.1,0.2,0.3,0.9
245,Lou Williams,PG,35,ATL,56,799,12.1,0.5,0.319,0.244,2.2,9.7,6,18.6,1.7,0.3,10.8,21.7,,0.2,0.4,0.6,0.034,,-2,-1.4,-3.4,-0.3
246,Omer Yurtseven,C,23,MIA,56,706,17.4,0.546,0.045,0.247,13.9,33,23.6,11,1.2,3,13,19.9,,0.8,1.4,2.1,0.145,,-1.4,0.4,-1,0.2
247,D.J. Augustin,PG,34,TOT,55,883,9.7,0.61,0.739,0.194,1.4,7,4.2,16.8,0.9,0.1,18.9,14.3,,0.7,0.1,0.8,0.043,,-1.2,-2.4,-3.6,-0.4
248,Khem Birch,C,29,TOR,55,991,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,,1.5,1.1,2.6,0.126,,-1.7,0.4,-1.3,0.2
